likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
308137,13914,15903,13144034,0.023443107,0.001209903,0.001058579,19.37602968,3.875077426
136726,6866,9735,5525110,0.024746295,0.001761956,0.00124269,14.04478685,1.628893309
848048,30056,19683,53578194,0.01582823,0.00036737,0.000560974,43.08530204,15.79573289
229657,12507,8351,24371495,0.009423181,0.000342654,0.000513181,27.50053886,7.185117607
642985,31302,18961,45219157,0.014219305,0.000419313,0.000692229,33.91092242,13.33135128
171976,8684,8969,6473285,0.026567037,0.001385541,0.001341514,19.17448991,1.908430895
100365,3748,4466,7878578,0.012738974,0.000566854,0.00047572,22.47313032,6.015049495
192986,8974,4626,20402693,0.009458849,0.000226735,0.000439844,41.71768266,4.698856495
96838,3134,2689,4776594,0.020273442,0.000562953,0.000656116,36.01264411,2.715409849
197605,6879,4669,15938244,0.012398166,0.000292943,0.000431603,42.32276719,6.06614207
72602,1787,4254,18064404,0.004019064,0.000235491,9.89E-05,17.0667607,7.100569851
132129,7018,10451,9210510,0.01434546,0.001134682,0.000761956,12.64271362,3.276401034
201234,7635,17917,20575996,0.009780037,0.000870772,0.000371063,11.23145616,5.514850642
272620,10615,11402,24084714,0.011319213,0.000473412,0.000440736,23.90984038,2.774194775
85995,2719,3394,7476302,0.011502344,0.000453968,0.000363682,25.33736005,3.675139986
128499,5619,3661,11113359,0.011562571,0.000329423,0.000505608,35.09942639,3.739483087
234037,8333,4397,18706048,0.012511301,0.000235058,0.000445471,53.22651808,2.493581109
169964,7979,7009,9409905,0.018062244,0.000744853,0.000847936,24.24939364,2.332934447
92194,4840,2438,7657751,0.012039305,0.00031837,0.000632039,37.81542248,3.345888387
165776,6014,2483,7171474,0.023116029,0.000346233,0.0008386,66.76439791,3.372017968
147042,4020,3958,12465858,0.011795578,0.000317507,0.000322481,37.1505811,2.121668095
957,22,38,112606,0.008498659,0.00033746,0.000195371,-2,1.759250529
81664,3241,2519,5560700,0.014685921,0.000453001,0.00058284,32.41921397,1.923338289
18713,450,650,985334,0.01899153,0.000659675,0.000456698,28.78923077,1.493048376
6146,234,219,487215,0.012614554,0.000449494,0.000480281,28.06392694,0.896076907
3885,522,660,286815,0.013545317,0.002301135,0.001819988,5.886363636,1.603181187
31080,1103,1418,3022578,0.010282613,0.000469136,0.00036492,21.91819464,2.244972421
138146,6267,3011,12684106,0.010891268,0.000237384,0.000494083,45.88043839,0.60870251
86415,3172,3369,8458080,0.010216858,0.000398317,0.000375026,25.65004452,0.853110653
78516,2719,4674,7913176,0.009922185,0.00059066,0.000343604,16.79845956,1.447781963
4426,156,355,578200,0.007654791,0.000613974,0.000269803,12.46760563,1.278641344
89352,3148,4837,11349056,0.007873078,0.000426203,0.00027738,18.47260699,0.866378572
23075,696,1113,1498953,0.015394078,0.000742518,0.000464324,20.73225517,0.83114152
155969,6364,5223,13520968,0.011535343,0.000386289,0.000470676,29.86195673,0.253363487
120420,5287,2552,11437686,0.010528353,0.000223122,0.000462244,47.18652038,0.581835002
1811,88,36,128792,0.014061432,0.00027952,0.000683272,50.30555556,3.73962283
9899,496,409,839779,0.011787625,0.000487033,0.000590632,24.20293399,15.79678568
93026,3526,2685,7196573,0.01292643,0.000373094,0.000489955,34.64655493,7.945975766
47276,1610,1468,5967274,0.007922546,0.000246008,0.000269805,32.20435967,78.70220128
48777,2093,1878,6523850,0.00747672,0.000287867,0.000320823,25.97284345,13.74728136
57547,3456,3161,5064332,0.011363197,0.000624169,0.00068242,18.20531477,0.533431095
35222,1584,2038,3039440,0.011588319,0.000670518,0.000521149,17.28263003,10.86763072
51298,1720,2069,5437896,0.009433428,0.000380478,0.000316299,24.79362011,127.9290567
5315,141,261,394180,0.013483688,0.000662134,0.000357705,20.36398467,16.86032067
8892,183,536,710368,0.012517456,0.000754538,0.000257613,16.58955224,210.3604373
10336,276,323,901930,0.011459869,0.000358121,0.00030601,32,0.789978348
65665,2180,1607,7614814,0.008623323,0.000211036,0.000286284,40.86185439,0.612542498
2889,288,350,429766,0.006722263,0.000814397,0.000670132,8.254285714,0.318488061
22678,863,802,1983274,0.011434628,0.000404382,0.000435139,28.27680798,0.26539348
8618,275,684,818209,0.010532761,0.000835972,0.0003361,12.5994152,0.714768039
27835,1273,604,2064683,0.013481488,0.000292539,0.00061656,46.08443709,0.789993659
36127,1693,828,2893701,0.012484704,0.000286139,0.000585064,43.63164251,0.177591169
37682,1650,1246,4910791,0.007673306,0.000253727,0.000335995,30.2423756,0.560800188
291,5,32,34650,0.008398268,0.000923521,0.0001443,-2,0.560800188
14275,380,417,950934,0.015011557,0.000438516,0.000399607,34.23261391,123.0030295
12501,930,660,1242937,0.01005763,0.000531,0.000748228,18.94090909,15.01727839
41992,1353,1579,4337076,0.009682099,0.00036407,0.000311961,26.59404687,5.627415048
11795,331,582,679575,0.017356436,0.000856418,0.000487069,20.26632302,26.06497722
14129,528,364,1053250,0.013414669,0.000345597,0.000501305,38.81593407,0.807162679
14078,795,343,785587,0.017920358,0.000436616,0.001011982,41.04373178,1.730614168
8376,354,709,861664,0.009720726,0.000822827,0.000410833,11.81382228,0.853290748
33202,1060,851,1121765,0.029598,0.000758626,0.000944939,39.01527615,51.68567031
19322,746,599,2938705,0.006575005,0.000203831,0.000253853,32.25709516,278.5163776
1831,102,43,91313,0.020051909,0.000470908,0.001117037,42.58139535,14.38962647
11655,336,427,834350,0.013968958,0.000511776,0.000402709,27.29508197,9.128761916
3218,1945,251,278692,0.011546797,0.000900636,0.006979031,12.82071713,0.876585164
2258,95,148,296431,0.007617287,0.000499273,0.000320479,15.25675676,2.268937976
1119,32,46,80037,0.013981034,0.000574734,0.000399815,24.32608696,1.420748975
830,33,23,32375,0.025637066,0.000710425,0.001019305,-2,5.657623669
2996,444,349,211248,0.014182383,0.001652087,0.002101795,8.584527221,2.099328975
323,10,11,19875,0.016251572,0.000553459,0.000503145,-2,3.91873782
27997,1081,1018,2193923,0.012761159,0.000464009,0.000492725,27.50196464,1.605180044
3577,1482,163,173044,0.020671043,0.000941957,0.008564296,21.94478528,0.795342184
2878,107,103,236353,0.012176702,0.000435789,0.000452713,27.94174757,0.157964462
10432,669,211,1299442,0.008028061,0.000162377,0.000514836,49.44075829,0.824227937
2427,66,200,398817,0.006085498,0.000501483,0.000165489,12.135,0.805162764
6183,185,295,371152,0.016658943,0.000794823,0.000498448,20.95932203,0.420297785
58,2,4,7121,0.008144923,0.000561719,0.000280859,-2,1.111539902
1999,52,52,147998,0.013506939,0.000351356,0.000351356,38.44230769,0.410208411
20543,830,698,2819183,0.007286863,0.000247589,0.000294412,29.43123209,0.751461567
15779,1209,326,859394,0.018360612,0.000379337,0.001406805,48.40184049,0.299791685
9720,196,347,1248831,0.007783279,0.00027786,0.000156947,28.01152738,0.691693306
1391,66,91,182999,0.007601134,0.00049727,0.000360658,15.28571429,0.276733001
7364,308,165,589349,0.012495143,0.00027997,0.000522611,44.63030303,0.127456345
1731,71,101,166848,0.010374712,0.000605341,0.000425537,17.13861386,0.173304918
809,41,29,46251,0.017491514,0.000627013,0.000886467,-2,0.676813639
13052,564,532,1973550,0.006613463,0.000269565,0.000285779,24.53383459,0.417590646
671,31,27,50617,0.013256416,0.000533418,0.000612442,-2,0.424934481
336,17,20,47217,0.007116081,0.000423576,0.00036004,-2,0.462152848
1619,78,46,133323,0.012143441,0.000345027,0.000585045,35.19565217,0.107671188
470,158,32,57590,0.008161139,0.000555652,0.002743532,-2,0.091457151
2978,112,72,218685,0.013617761,0.000329241,0.000512152,41.36111111,0.753736716
1870,115,53,107478,0.01739891,0.000493124,0.001069986,35.28301887,0.54287744
5387,251,149,408211,0.013196607,0.000365007,0.000614878,36.15436242,0.158002861
344,19,15,34731,0.009904696,0.000431891,0.000547062,-2,0.140992042
881,41,45,114236,0.007712105,0.000393921,0.000358906,-2,187.8355723
4482,161,327,497815,0.009003345,0.000656871,0.000323413,13.70642202,3.33145326
2522,72,123,167210,0.01508283,0.000735602,0.000430596,20.50406504,64.13944223
631,31,40,46224,0.013650917,0.000865351,0.000670647,-2,71.0593163
306,14,9,23385,0.013085311,0.000384862,0.000598674,-2,1.697091291
179,45,14,9236,0.019380684,0.001515808,0.004872239,-2,0.149529853
2616,61,106,239808,0.010908727,0.00044202,0.00025437,24.67924528,51.52074267
424,35,11,15416,0.027503892,0.000713544,0.002270368,-2,59.34210908
1192,80,24,82850,0.014387447,0.00028968,0.0009656,49.66666667,179.4885572
185,12,6,16455,0.011242783,0.000364631,0.000729262,-2,3.095404782
1378,86,53,85425,0.016131109,0.000620427,0.001006731,26,2.135054739
20228,1487,1424,507935,0.039823993,0.002803508,0.00292754,14.20505618,3.282368194
543,15,33,43885,0.012373248,0.000751965,0.000341802,-2,0.138497551
228,7,16,25753,0.008853337,0.000621287,0.000271813,-2,4.627326419
1245,45,50,85859,0.014500518,0.00058235,0.000524115,24.9,31.12531584
2939,158,143,455724,0.006449079,0.000313786,0.000346701,20.55244755,31.12531584
997,73,41,83873,0.01188702,0.000488834,0.000870364,-2,159.7400077
485,49,19,43782,0.011077612,0.000433968,0.001119181,-2,12.53204123
183,16,15,8041,0.022758363,0.00186544,0.001989802,-2,0.319324322
1119,71,47,115788,0.009664214,0.000405914,0.00061319,23.80851064,0.564128571
1559,59,32,70637,0.022070586,0.00045302,0.000835256,48.71875,1.308628543
22357,1036,864,1484069,0.015064663,0.000582183,0.000698081,25.87615741,0.137440758
507,19,21,67952,0.007461149,0.000309042,0.000279609,-2,0.267357589
1555,72,53,102194,0.015216158,0.000518621,0.000704542,29.33962264,0.025891161
670,39,18,42731,0.015679483,0.00042124,0.000912686,-2,0.191491324
209,26,4,8827,0.023677354,0.000453155,0.002945508,-2,0.136887528
1133,101,20,78279,0.014473869,0.000255496,0.001290257,56.65,192.1638387
3545,352,143,266841,0.013285065,0.0005359,0.001319138,24.79020979,149.7497141
1147,142,98,120960,0.009482474,0.000810185,0.001173942,11.70408163,260.5576051
458,23,15,31229,0.014665855,0.000480323,0.000736495,-2,0.399576332
986,85,27,72053,0.013684371,0.000374724,0.001179687,-2,143.8039216
507,38,12,28827,0.017587678,0.000416276,0.001318209,-2,143.8039216
1972,115,91,134522,0.014659312,0.000676469,0.000854879,21.67032967,63.07793371
213,21,6,13277,0.016042781,0.000451909,0.001581683,-2,51.67034936
381,33,16,18053,0.021104526,0.000886279,0.001827951,-2,177.4553571
3493,123,54,333832,0.010463347,0.000161758,0.000368449,64.68518519,186.0675939
13568,437,659,1654331,0.008201503,0.000398348,0.000264155,20.58877086,6.478551771
22117,1538,396,3872692,0.005711014,0.000102254,0.00039714,55.8510101,19.30785338
359,10,5,17316,0.020732271,0.00028875,0.000577501,-2,18.43689175
1430,54,48,158233,0.009037306,0.00030335,0.000341269,29.79166667,400.4186747
715,28,28,41221,0.017345528,0.000679265,0.000679265,-2,138.3347
1084,74,20,70503,0.015375232,0.000283676,0.001049601,54.2,55.6328125
623,107,13,25522,0.024410313,0.000509364,0.004192461,-2,133.5648128
545,30,16,37078,0.014698743,0.000431523,0.000809105,-2,19.41633952
605,46,8,43500,0.013908046,0.000183908,0.001057471,-2,33.07195243
551,44,33,44265,0.012447758,0.00074551,0.000994013,-2,68.82589286
418,24,17,30591,0.01366415,0.000555719,0.000784544,-2,306.769697
326,42,19,15277,0.021339268,0.0012437,0.002749231,-2,231.4558824
725,34,19,48142,0.015059615,0.000394666,0.000706244,-2,256.3903846
1104,49,18,70963,0.015557403,0.000253653,0.000690501,61.33333333,256.3903846
2055,97,40,132209,0.015543571,0.000302551,0.000733687,51.375,205.8306306
508,23,15,26573,0.019117149,0.000564483,0.00086554,-2,83.89110708
455,17,21,28793,0.015802452,0.000729344,0.000590421,-2,74.81125227
169,4,4,7880,0.021446701,0.000507614,0.000507614,-2,169.4565217
534,23,16,36690,0.014554374,0.000436086,0.000626874,-2,0.655546881
493,16,27,34639,0.014232512,0.000779468,0.000461907,-2,1.811484137
69,7,3,3293,0.020953538,0.000911023,0.002125721,-2,1.084321102
223,30,4,11216,0.019882311,0.000356633,0.00267475,-2,1.255163603
