videoId,channelId
pha37bMwWR0,UCr-gTfI7au9UaEjNCbnp_Nw
XDUxYxHU3CY,UCr-gTfI7au9UaEjNCbnp_Nw
Spfaub0sVk0,UCr-gTfI7au9UaEjNCbnp_Nw
eiGdsH1g20k,UCr-gTfI7au9UaEjNCbnp_Nw
xYcL5_iSZJE,UCr-gTfI7au9UaEjNCbnp_Nw
AOfMnx6fc6A,UCr-gTfI7au9UaEjNCbnp_Nw
2LZ0r2VFts4,UChIGU8b4l5cj6i5D9REsqdg
5nyFfZnsyNY,UCr-gTfI7au9UaEjNCbnp_Nw
J4556Pbl70Y,UCzsaQoeRJjnnaQrLWDZ071A
tNVBhBNj1oY,UCr-gTfI7au9UaEjNCbnp_Nw
un0eSCZI0ws,UCvScgo6mAvbMEjszK4sSj6g
NjRRDE7gK4E,UCr-gTfI7au9UaEjNCbnp_Nw
kN1D8p2Fc6U,UCr-gTfI7au9UaEjNCbnp_Nw
jK0K-2Gz780,UCr-gTfI7au9UaEjNCbnp_Nw
EDlycV2GYRg,UCKEVB-yUzp4f9MQ_l2kFxug
pMmCvixJS8c,UCr-gTfI7au9UaEjNCbnp_Nw
Rw9EiwUn4Yg,UCr-gTfI7au9UaEjNCbnp_Nw
i0OVzsMhT2I,UCr-gTfI7au9UaEjNCbnp_Nw
7-iBeFQUIVs,UCyFWZBo571jR3HYvaHIo6wA
ZDsLYwBIrpA,UCplkk3J5wrEl0TNrthHjq4Q
xiNbVgBilSw,UCr-gTfI7au9UaEjNCbnp_Nw
kfrB0-7uXjs,UCWZc94oeti-YQsI9995G3aA
yHA9lxVhNdo,UCplkk3J5wrEl0TNrthHjq4Q
aWZua5HYfnY,UCKEVB-yUzp4f9MQ_l2kFxug
rUNUnLIxVI0,UCKo-xKyz5MY_KKUwNTw4n8g
mdtpZz3Fk1c,UClYOz7KQYIMj3xoP-kVrC8Q
QfpgUe7jsr0,UCyq-CSpmCMD-55Nkevm6W9w
9ZsRQNUQ8Vo,UCr-gTfI7au9UaEjNCbnp_Nw
lGkqNVrgFWE,UCr-gTfI7au9UaEjNCbnp_Nw
8uzXFv9f_qc,UCr-gTfI7au9UaEjNCbnp_Nw
eq8gmDFagRk,UCfimYJBvN_uE7kcoPcE8eeQ
qPweDwkDw6w,UCr-gTfI7au9UaEjNCbnp_Nw
sLaOUarJibo,UCvR2R7j218tzejtTsb_X6Rw
aSMxY_O0NTA,UC4jsjCJGUMgiXI5y3vPj53Q
UMsA3T4xsU8,UCr-gTfI7au9UaEjNCbnp_Nw
